week,term,interest
2025-06-01,regenerative eggs,0
2025-06-08,cage free eggs,17
2025-06-08,organic eggs,41
2025-06-08,pasture raised eggs,20
2025-06-08,regenerative eggs,0
2025-06-15,cage free eggs,10
2025-06-15,organic eggs,20
2025-06-15,pasture raised eggs,18
2025-06-15,regenerative eggs,0
2025-06-22,cage free eggs,9
2025-06-22,organic eggs,22
2025-06-22,pasture raised eggs,18
2025-06-22,regenerative eggs,0
2025-06-29,cage free eggs,8
2025-06-29,organic eggs,22
2025-06-29,pasture raised eggs,18
2025-06-29,regenerative eggs,0
2025-07-06,cage free eggs,11
2025-07-06,organic eggs,21
2025-07-06,pasture raised eggs,16
2025-07-06,regenerative eggs,0
2025-07-13,cage free eggs,10
2025-07-13,organic eggs,23
2025-07-13,pasture raised eggs,17
2025-07-13,regenerative eggs,0
2025-07-20,cage free eggs,9
2025-07-20,organic eggs,23
2025-07-20,pasture raised eggs,17
2025-07-20,regenerative eggs,0
2025-07-27,cage free eggs,11
2025-07-27,organic eggs,25
2025-07-27,pasture raised eggs,17
2025-07-27,regenerative eggs,0
2025-08-03,cage free eggs,10
2025-08-03,organic eggs,20
2025-08-03,pasture raised eggs,15
2025-08-03,regenerative eggs,0
2025-08-10,cage free eggs,10
2025-08-10,organic eggs,21
2025-08-10,pasture raised eggs,17
2025-08-10,regenerative eggs,0
2025-08-17,cage free eggs,7
2025-08-17,organic eggs,22
2025-08-17,pasture raised eggs,16
2025-08-17,regenerative eggs,0
2025-08-24,cage free eggs,11
2025-08-24,organic eggs,25
2025-08-24,pasture raised eggs,16
2025-08-24,regenerative eggs,0
2025-08-31,cage free eggs,10
2025-08-31,organic eggs,24
2025-08-31,pasture raised eggs,17
2025-08-31,regenerative eggs,0
2025-09-07,cage free eggs,9
2025-09-07,organic eggs,23
2025-09-07,pasture raised eggs,14
2025-09-07,regenerative eggs,0
2025-09-14,cage free eggs,8
2025-09-14,organic eggs,26
2025-09-14,pasture raised eggs,16
2025-09-14,regenerative eggs,0
2025-09-21,cage free eggs,10
2025-09-21,organic eggs,30
2025-09-21,pasture raised eggs,15
2025-09-21,regenerative eggs,2
2025-09-28,cage free eggs,9
2025-09-28,organic eggs,23
2025-09-28,pasture raised eggs,14
2025-09-28,regenerative eggs,0
2025-10-05,cage free eggs,8
2025-10-05,organic eggs,24
2025-10-05,pasture raised eggs,15
2025-10-05,regenerative eggs,0
2025-10-12,cage free eggs,9
2025-10-12,organic eggs,23
2025-10-12,pasture raised eggs,18
2025-10-12,regenerative eggs,0
2025-10-19,cage free eggs,9
2025-10-19,organic eggs,25
2025-10-19,pasture raised eggs,20
2025-10-19,regenerative eggs,0
2025-10-26,cage free eggs,10
2025-10-26,organic eggs,23
2025-10-26,pasture raised eggs,17
2025-10-26,regenerative eggs,0
2025-11-02,cage free eggs,10
2025-11-02,organic eggs,25
2025-11-02,pasture raised eggs,18
2025-11-02,regenerative eggs,0
2025-11-09,cage free eggs,10
2025-11-09,organic eggs,28
2025-11-09,pasture raised eggs,18
2025-11-09,regenerative eggs,0
2025-11-16,cage free eggs,10
2025-11-16,organic eggs,23
2025-11-16,pasture raised eggs,15
2025-11-16,regenerative eggs,0
2025-11-23,cage free eggs,10
2025-11-23,organic eggs,24
2025-11-23,pasture raised eggs,16
2025-11-23,regenerative eggs,0
2025-11-30,cage free eggs,11
2025-11-30,organic eggs,23
2025-11-30,pasture raised eggs,18
2025-11-30,regenerative eggs,0
2025-12-07,cage free eggs,10
2025-12-07,organic eggs,26
2025-12-07,pasture raised eggs,15
2025-12-07,regenerative eggs,0
2025-12-14,cage free eggs,10
2025-12-14,organic eggs,25
2025-12-14,pasture raised eggs,15
2025-12-14,regenerative eggs,0
2025-12-21,cage free eggs,7
2025-12-21,organic eggs,24
2025-12-21,pasture raised eggs,19
2025-12-21,regenerative eggs,0
2025-12-28,cage free eggs,11
2025-12-28,organic eggs,31
2025-12-28,pasture raised eggs,23
2025-12-28,regenerative eggs,0
2026-01-04,cage free eggs,13
2026-01-04,organic eggs,29
2026-01-04,pasture raised eggs,25
2026-01-04,regenerative eggs,0
2026-01-11,cage free eggs,13
2026-01-11,organic eggs,38
2026-01-11,pasture raised eggs,30
2026-01-11,regenerative eggs,1
2026-01-18,cage free eggs,16
2026-01-18,organic eggs,48
2026-01-18,pasture raised eggs,49
2026-01-18,regenerative eggs,3
2026-01-25,cage free eggs,12
2026-01-25,organic eggs,40
2026-01-25,pasture raised eggs,35
2026-01-25,regenerative eggs,2
2026-02-01,cage free eggs,11
2026-02-01,organic eggs,42
2026-02-01,pasture raised eggs,30
2026-02-01,regenerative eggs,2
2026-02-08,cage free eggs,10
2026-02-08,organic eggs,34
2026-02-08,pasture raised eggs,24
2026-02-08,regenerative eggs,0
2026-02-15,cage free eggs,11
2026-02-15,organic eggs,39
2026-02-15,pasture raised eggs,27
2026-02-15,regenerative eggs,1
2026-02-22,cage free eggs,13
2026-02-22,organic eggs,39
2026-02-22,pasture raised eggs,22
2026-02-22,regenerative eggs,0
2026-03-01,cage free eggs,13
2026-03-01,organic eggs,35
2026-03-01,pasture raised eggs,24
2026-03-01,regenerative eggs,0
2026-03-08,cage free eggs,13
2026-03-08,organic eggs,39
2026-03-08,pasture raised eggs,26
2026-03-08,regenerative eggs,0
2026-03-15,cage free eggs,12
2026-03-15,organic eggs,36
2026-03-15,pasture raised eggs,26
2026-03-15,regenerative eggs,0
2026-03-22,cage free eggs,15
2026-03-22,organic eggs,51
2026-03-22,pasture raised eggs,30
2026-03-22,regenerative eggs,2
2026-03-29,cage free eggs,24
2026-03-29,organic eggs,91
2026-03-29,pasture raised eggs,40
2026-03-29,regenerative eggs,1
2026-04-05,cage free eggs,32
2026-04-05,organic eggs,100
2026-04-05,pasture raised eggs,53
2026-04-05,regenerative eggs,0
2026-04-12,cage free eggs,34
2026-04-12,organic eggs,100
2026-04-12,pasture raised eggs,52
2026-04-12,regenerative eggs,2
2026-04-19,cage free eggs,27
2026-04-19,organic eggs,81
2026-04-19,pasture raised eggs,45
2026-04-19,regenerative eggs,0
2026-04-26,cage free eggs,21
2026-04-26,organic eggs,65
2026-04-26,pasture raised eggs,32
2026-04-26,regenerative eggs,0
2026-05-03,cage free eggs,15
2026-05-03,organic eggs,46
2026-05-03,pasture raised eggs,30
2026-05-03,regenerative eggs,2
2026-05-10,cage free eggs,15
2026-05-10,organic eggs,37
2026-05-10,pasture raised eggs,25
2026-05-10,regenerative eggs,1
2026-05-17,cage free eggs,14
2026-05-17,organic eggs,37
2026-05-17,pasture raised eggs,23
2026-05-17,regenerative eggs,1
